Date,US T-Note 10Y Yield,USD/EUR,US Unemployment,US GDP,XAU/USD,USD Index,OIL WTI,VIX,Interest Rates,US T-Bond 30Y Yield,US T-Note 5Y Yield,US T-Note 2Y Yield
2017-10-01,-0.179,0.005,-0.500,221.586,-7.900,1.546,2.710,0.670,0.000,-0.340,-0.790,-0.390
2017-09-01,0.393,0.012,0.300,153.817,-42.500,0.255,4.440,-1.080,-0.010,-4.570,-0.800,-0.200
2017-08-01,-0.167,0.026,-0.100,153.817,52.550,-0.090,-2.940,0.330,0.010,4.410,0.630,0.100
2017-07-01,-0.106,-0.017,0.400,153.817,27.850,-2.703,4.130,-0.920,0.110,-0.720,-0.370,-0.170
2017-06-01,0.181,0.014,-0.300,108.606,-26.890,-1.433,-2.280,0.770,0.130,-1.430,-0.290,-0.010
2017-05-01,0.017,-0.007,0.300,108.606,0.440,-2.044,-1.010,-0.410,0.010,2.150,0.400,0.050
2017-04-01,-0.092,-0.014,-0.300,108.606,19.020,-1.320,-1.270,-1.550,0.110,2.130,0.330,-0.170
2017-03-01,0.061,-0.026,0.100,93.991,0.110,-0.911,-3.410,-0.550,0.130,-2.100,0.010,-0.020
2017-02-01,-0.089,0.044,-0.200,93.991,38.010,1.648,1.200,0.930,0.010,2.100,0.200,0.090
2017-01-01,-0.036,-0.031,0.100,93.991,59.050,-2.805,-0.910,-2.050,0.110,0.180,-0.410,-0.270
2016-12-01,-0.508,-0.027,0.400,106.414,-21.240,0.747,4.280,0.710,0.130,-2.000,-0.080,0.010
2016-11-01,0.336,0.013,-0.500,106.414,-104.580,3.117,2.580,-3.730,0.010,-10.060,-2.440,-0.410
2016-10-01,0.208,0.028,0.500,106.414,-38.520,3.037,-1.380,3.770,0.000,-5.440,-0.710,-0.260
2016-09-01,-0.108,-0.008,-0.300,135.229,7.350,-0.627,3.540,-0.130,0.000,-3.680,0.270,0.080
2016-08-01,0.153,0.006,0.100,135.229,-42.140,0.521,3.100,1.550,0.010,-2.600,-0.780,-0.250
2016-07-01,0.351,-0.008,-0.400,135.229,28.810,-0.712,-6.730,-3.760,0.010,2.100,-0.390,-0.120
2016-06-01,-0.392,-0.023,0.100,61.019,107.090,0.325,-0.770,1.440,0.010,7.620,1.860,0.500
2016-05-01,-0.049,0.031,0.200,61.019,-78.670,2.824,3.180,-1.510,0.000,1.410,-0.360,-0.190
2016-04-01,0.033,0.035,0.400,61.019,61.410,-1.524,7.580,1.750,0.010,-1.130,-0.430,-0.100
